,PID,Gender,Sex_orient,Age,Pol_party,Pol_Id,Pol_Id_forced,Know_LGB,Know_trans,Religiosity,State,Rel_lib_marriage,Trans_bath,LG_job_discrim,LG_couple_adopt,Sum_Policies,Feel_therm_LG,Feel_therm_trans,Feel_therm_mean,Gov_pol_party_2020,Overall_rel
8070,8071,1,1,80,2,6,,2,2,3,AK,1,1,1,1,4,50,40,45,Republican,0.45
3234,3235,1,1,61,2,7,,2,2,1,AK,1,1,1,1,4,50,50,50,Republican,0.45
3548,3549,2,1,79,4,6,,1,2,1,AK,1,1,1,1,4,70,50,60,Republican,0.45
4724,4725,2,1,56,4,2,,1,1,5,AK,1,0,1,1,3,50,50,50,Republican,0.45
5515,5516,1,1,78,2,6,,2,2,4,AK,1,0,1,1,3,50,50,50,Republican,0.45
4568,4569,1,1,50,1,,2,1,1,1,AK,0,0,1,1,2,50,50,50,Republican,0.45
897,898,1,1,68,,7,,2,2,1,AL,1,1,1,1,4,0,0,0,Republican,0.77
2841,2842,2,1,36,,7,,2,2,1,AL,1,1,1,1,4,0,0,0,Republican,0.77
3961,3962,2,1,64,,5,,2,2,1,AL,1,1,1,1,4,0,0,0,Republican,0.77
878,879,2,1,66,,6,,2,2,2,AL,1,1,1,1,4,10,20,15,Republican,0.77
1846,1847,2,1,28,,,2,2,2,3,AL,1,1,1,1,4,15,15,15,Republican,0.77
287,288,1,1,38,,7,,2,2,1,AL,1,1,1,1,4,50,0,25,Republican,0.77
6896,6897,1,1,35,,7,,2,2,2,AL,1,1,1,1,4,30,30,30,Republican,0.77
7296,7297,2,1,71,,6,,2,2,1,AL,1,1,1,1,4,30,,30,Republican,0.77
2804,2805,2,1,68,,7,,2,2,1,AL,1,1,1,1,4,15,50,32.5,Republican,0.77
4705,4706,1,1,50,,6,,1,2,2,AL,1,1,1,1,4,50,15,32.5,Republican,0.77
4032,4033,2,1,61,,4,2,2,2,4,AL,1,1,1,1,4,30,50,40,Republican,0.77
7679,7680,2,1,57,,6,,2,2,1,AL,1,1,1,1,4,40,40,40,Republican,0.77
6628,6629,2,1,67,,6,,2,2,2,AL,1,1,1,1,4,50,40,45,Republican,0.77
1071,1072,1,1,59,,6,,1,2,2,AL,1,1,1,1,4,50,50,50,Republican,0.77
1606,1607,2,1,64,,,2,2,2,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
3384,3385,2,1,29,,4,2,2,2,3,AL,1,1,1,1,4,50,50,50,Republican,0.77
3612,3613,2,1,36,,6,,2,2,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
3884,3885,1,1,55,,6,,1,1,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
4242,4243,2,1,65,,,2,2,2,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
4529,4530,2,1,37,,4,1,2,2,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
5725,5726,1,1,80,,6,,1,2,2,AL,1,1,1,1,4,50,50,50,Republican,0.77
5789,5790,1,1,63,,4,2,1,2,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
5910,5911,2,1,53,,7,,1,2,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
6985,6986,1,1,,,,2,2,2,1,AL,1,1,1,1,4,50,50,50,Republican,0.77
7380,7381,2,1,58,,6,,1,2,2,AL,1,1,1,1,4,50,50,50,Republican,0.77
7486,7487,2,1,33,,6,,2,2,2,AL,1,1,1,1,4,50,50,50,Republican,0.77
5250,5251,2,1,80,,,1,1,2,1,AL,1,1,1,1,4,60,50,55,Republican,0.77
6489,6490,2,1,43,,7,,1,1,1,AL,1,1,1,1,4,50,60,55,Republican,0.77
3604,3605,2,1,43,,7,,2,2,1,AL,1,1,1,1,4,85,30,57.5,Republican,0.77
3481,3482,2,1,56,,6,,1,1,1,AL,1,1,1,1,4,70,50,60,Republican,0.77
2035,2036,1,1,39,,6,,1,2,1,AL,1,1,1,1,4,100,60,80,Republican,0.77
4902,4903,2,1,48,,,1,1,2,2,AL,1,1,1,1,4,85,85,85,Republican,0.77
5772,5773,2,1,80,,6,,,,1,AL,1,1,1,1,4,85,85,85,Republican,0.77
6612,6613,1,1,53,,4,1,1,2,1,AL,1,1,1,1,4,85,100,92.5,Republican,0.77
6983,6984,2,1,75,,6,,1,1,3,AL,1,1,1,1,4,85,100,92.5,Republican,0.77
5845,5846,1,1,24,,7,,1,1,3,AL,1,1,1,1,4,100,100,100,Republican,0.77
6570,6571,2,1,28,,6,,1,1,3,AL,1,1,1,1,4,100,100,100,Republican,0.77
443,444,2,1,44,,6,,1,2,2,AL,1,1,1,1,4,,,,Republican,0.77
6520,6521,1,1,69,,2,,,,1,AL,1,1,1,1,4,,,,Republican,0.77
697,698,2,1,27,,6,,1,2,1,AL,1,0,1,1,3,40,40,40,Republican,0.77
4535,4536,2,1,57,,5,,,,1,AL,1,0,1,1,3,50,50,50,Republican,0.77
5785,5786,1,1,64,,6,,2,2,1,AL,1,0,1,1,3,50,50,50,Republican,0.77
6167,6168,2,1,34,,5,,1,2,2,AL,1,0,1,1,3,50,50,50,Republican,0.77
6333,6334,1,1,74,,4,2,2,2,1,AL,1,0,1,1,3,50,50,50,Republican,0.77
6654,6655,2,1,33,1,3,,1,2,2,AL,1,0,1,1,3,50,50,50,Republican,0.77
6996,6997,,,38,,4,2,2,2,1,AL,1,0,1,1,3,50,50,50,Republican,0.77
7918,7919,2,1,63,,5,,1,2,2,AL,1,0,1,1,3,70,60,65,Republican,0.77
6967,6968,1,1,45,,3,,1,2,2,AL,1,0,1,1,3,70,70,70,Republican,0.77
1246,1247,1,1,38,,3,,2,2,5,AL,1,0,1,1,3,85,70,77.5,Republican,0.77
7307,7308,2,1,63,,,2,1,2,1,AL,1,0,1,1,3,100,85,92.5,Republican,0.77
3666,3667,2,1,80,,6,,2,2,2,AL,1,,1,1,3,40,50,45,Republican,0.77
7224,7225,2,1,48,,5,,1,1,2,AL,1,,1,1,3,100,100,100,Republican,0.77
